Asset	DateMin	DateMax	TotalDays	DateDiffDays
FLPPU22   	2021-12-22	2022-09-16	102	268
FLPPU23   	2023-03-14	2023-09-15	77	185
FLPPU24   	2024-01-17	2024-06-20	46	155
FLPPZ24   	2024-03-18	2024-06-18	16	92
FLTSH22   	2021-06-21	2022-03-18	100	270
FLTSH23   	2022-06-20	2022-07-26	4	36
FLTSM22   	2021-09-20	2022-06-17	124	270
FLTSU22   	2021-12-28	2022-07-28	65	212
FLVCH22   	2021-12-02	2022-03-18	39	106
FLVCH23   	2022-12-14	2023-03-17	58	93
FLVCM22   	2021-12-15	2022-06-14	15	181
FLVCM23   	2022-09-23	2023-06-16	51	266
FLVCU22   	2022-05-18	2022-09-16	32	121
FLVCU23   	2022-12-20	2023-09-14	46	268
FLWBZ21   	2021-06-21	2021-12-17	88	179
FLWBZ22   	2022-03-23	2022-12-16	70	268
FLWBZ23   	2023-03-30	2023-12-15	80	260
FLWBZ24   	2024-04-24	2024-05-23	4	29
FMABH24   	2023-12-04	2024-03-15	38	102
FMABU22   	2022-01-25	2022-09-16	62	234
FMABU23   	2023-03-15	2023-09-15	55	184
FMABZ22   	2022-04-22	2022-12-16	54	238
FMABZ23   	2023-04-06	2023-12-15	44	253
FMBKH22   	2021-08-31	2022-03-18	104	199
FMBKH23   	2022-06-24	2023-03-17	75	266
FMBKH24   	2023-06-28	2024-03-15	77	261
FMBKM22   	2021-10-15	2022-06-17	111	245
FMBKM23   	2022-10-31	2023-06-16	83	228
FMBKM24   	2023-09-25	2024-06-20	117	269
FMBKU22   	2022-01-07	2022-09-16	84	252
FMBKU23   	2022-12-19	2023-09-15	92	270
FMBKU24   	2024-02-15	2024-06-20	63	126
FMBKZ21   	2021-03-23	2021-12-17	75	269
FMILZ22   	2022-03-25	2022-12-16	96	266
FMILZ23   	2023-03-24	2023-12-15	101	266
FMILZ24   	2024-03-22	2024-04-11	4	20
FMRCZ21   	2021-03-22	2021-12-17	141	270
FMRCZ22   	2022-04-05	2022-12-16	108	255
FMRCZ23   	2023-05-29	2023-12-15	37	200
FOPLM22   	2021-09-20	2022-06-17	83	270
FOPLM23   	2022-09-19	2023-06-16	114	270
FOPLZ21   	2021-03-25	2021-12-17	96	267
FOPLZ22   	2022-03-23	2022-12-16	95	268
FOPLZ23   	2023-05-18	2023-12-15	95	211
FPCOZ22   	2022-09-12	2022-12-16	56	95
FPCOZ23   	2023-06-05	2023-12-15	87	193
FPCOZ24   	2024-03-20	2024-06-19	14	91
FPEOH22   	2021-07-08	2022-03-18	99	253
FPEOH23   	2022-06-20	2023-03-17	156	270
FPEOH24   	2023-07-03	2024-03-15	108	256
FPEOM22   	2021-09-20	2022-06-17	106	270
FPEOM23   	2022-09-19	2023-06-16	142	270
FPEOM24   	2023-10-16	2024-06-20	110	248
FPEOU22   	2021-12-29	2022-09-16	122	261
FPEOU23   	2022-12-19	2023-09-15	124	270
FPEOU24   	2023-12-18	2024-06-20	51	185
FPETZ22   	2022-03-29	2022-11-24	19	240
FPGEH22   	2021-07-01	2022-03-18	101	260
FPGEH23   	2022-06-21	2023-03-17	108	269
FPGEH24   	2023-06-19	2024-03-15	108	270
FPGEM22   	2021-09-29	2022-06-17	103	261
FPGEM23   	2022-09-26	2023-06-16	108	263
FPGEM24   	2023-09-20	2024-06-20	89	274
FPGEU22   	2021-12-20	2022-09-16	124	270
FPGEU23   	2022-12-22	2023-09-15	99	267
FPGEU24   	2024-03-01	2024-06-20	37	111
FPGNH22   	2021-09-20	2022-03-18	84	179
FPGNZ21   	2021-04-12	2021-12-17	106	249
FPGNZ22   	2022-05-10	2022-10-28	50	171
FPKNH22   	2021-06-29	2022-03-18	129	262
FPKNH23   	2022-06-20	2023-03-17	150	270
FPKNH24   	2023-06-26	2024-03-15	160	263
FPKNM22   	2021-09-28	2022-06-17	143	262
FPKNM23   	2022-09-22	2023-06-16	151	267
FPKNM24   	2023-09-19	2024-06-20	168	275
FPKNU22   	2021-12-27	2022-09-16	124	263
FPKNU23   	2022-12-19	2023-09-15	180	270
FPKNU24   	2023-12-18	2024-06-20	117	185
FPKOZ21   	2021-03-22	2021-12-17	146	270
FPKOZ22   	2022-03-21	2022-12-16	155	270
FPKOZ23   	2023-03-20	2023-12-15	166	270
FPKOZ24   	2024-03-20	2024-06-20	42	92
FPKPM24   	2024-03-18	2024-06-20	39	94
FPKPU24   	2024-04-24	2024-06-20	14	57
FPKPZ24   	2024-05-15	2024-06-18	3	34
FPLWH22   	2021-11-05	2022-03-17	70	132
FPLWH23   	2022-12-19	2023-03-17	34	88
FPLWH24   	2023-12-13	2024-03-13	39	91
FPLWM22   	2021-09-21	2022-06-17	68	269
FPLWM23   	2023-03-20	2023-06-16	37	88
FPLWU22   	2022-02-21	2022-09-16	59	207
FPLWU23   	2023-06-19	2023-09-14	50	87
FPXMH22   	2021-07-12	2022-03-18	62	249
FPXMH23   	2022-09-07	2023-03-14	52	188
FPXMH24   	2023-11-29	2024-03-15	34	107
FPXMM22   	2021-11-17	2022-06-17	44	212
FPXMM23   	2022-11-07	2023-06-16	51	221
FPXMM24   	2024-01-17	2024-06-20	30	155
FPXMU22   	2021-12-20	2022-09-15	49	269
FPXMU23   	2023-01-16	2023-09-15	61	242
FPXMU24   	2024-03-12	2024-06-20	16	100
FPZUH22   	2021-06-21	2022-03-18	176	270
FPZUH23   	2022-06-20	2023-03-17	157	270
FPZUH24   	2023-06-19	2024-03-15	154	270
FPZUM22   	2021-09-20	2022-06-17	181	270
FPZUM23   	2022-09-19	2023-06-16	148	270
FPZUM24   	2023-09-18	2024-06-20	149	276
FPZUU22   	2021-12-20	2022-09-16	167	270
FPZUU23   	2022-12-19	2023-09-15	154	270
FPZUU24   	2023-12-18	2024-06-20	62	185
FPZUZ21   	2021-03-23	2021-12-17	177	269
FSPLH22   	2021-07-12	2022-03-18	74	249
FSPLH23   	2022-06-20	2023-03-17	77	270
FSPLH24   	2023-06-19	2024-03-15	70	270
FSPLM22   	2021-10-01	2022-06-17	63	259
FSPLM23   	2022-12-14	2023-06-16	58	184
FSPLM24   	2024-03-12	2024-06-19	50	99
